attribute,subgroup,subjects,coverage,coverage_ci_low,coverage_ci_high,abstention_rate,selective_accuracy
Sex,Female,25,0.88,0.7004420607907269,0.9583318284955964,0.56,0.7272727272727273
Sex,Male,26,1.0,0.871271078140785,1.0,0.5769230769230769,1.0
Diagnosis,Healthy,12,0.9166666666666666,0.6461200888588832,0.9851349055950829,0.5,0.8333333333333334
Diagnosis,PD,39,0.9487179487179487,0.8311435995238639,0.9858220445847259,0.5897435897435898,0.875
