method,alpha,probability_source,target_coverage,coverage,coverage_ci_low,coverage_ci_high,healthy_coverage,healthy_coverage_ci_low,healthy_coverage_ci_high,pd_coverage,pd_coverage_ci_low,pd_coverage_ci_high,average_set_size,singleton_rate,abstention_rate,ambiguous_rate,empty_rate,selective_accuracy,selective_balanced_accuracy,selected_subjects,abstention_rate_ci_low,abstention_rate_ci_high,selective_accuracy_ci_low,selective_accuracy_ci_high,selective_balanced_accuracy_ci_low,selective_balanced_accuracy_ci_high
lac,0.05,uncalibrated_subject_mean_probability,0.95,0.9803921568627451,0.9411764705882353,1.0,0.9166666666666666,0.6461200888588832,0.9851349055950829,1.0,0.9103331462924287,1.0,1.7058823529411764,0.29411764705882354,0.7058823529411765,0.7058823529411765,0.0,0.9333333333333333,0.5,15,0.5686274509803921,0.8235294117647058,0.7857142857142857,1.0,0.5,0.5
lac,0.1,uncalibrated_subject_mean_probability,0.9,0.9607843137254902,0.9019607843137255,1.0,0.8333333333333334,0.5519691377470268,0.953034857816146,1.0,0.9103331462924287,1.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.9411764705882353,0.8,34,0.21568627450980393,0.47058823529411764,0.8529411764705882,1.0,0.5,1.0
lac,0.2,uncalibrated_subject_mean_probability,0.8,0.8627450980392157,0.7647058823529411,0.9411764705882353,0.5833333333333334,0.3195113125495498,0.8067396863412434,0.9487179487179487,0.8311435995238639,0.9858220445847259,1.0588235294117647,0.9411764705882353,0.058823529411764705,0.058823529411764705,0.0,0.8541666666666666,0.7457002457002457,48,0.0,0.13725490196078433,0.7446808510638298,0.94,0.5773366724738676,0.895933014354067
mondrian_lac,0.05,uncalibrated_subject_mean_probability,0.95,0.9803921568627451,0.9411764705882353,1.0,0.9166666666666666,0.6461200888588832,0.9851349055950829,1.0,0.9103331462924287,1.0,1.6470588235294117,0.35294117647058826,0.6470588235294118,0.6470588235294118,0.0,0.9444444444444444,0.875,18,0.5098039215686274,0.7647058823529411,0.8180397727272728,1.0,0.625,1.0
mondrian_lac,0.1,uncalibrated_subject_mean_probability,0.9,0.9411764705882353,0.8627450980392157,1.0,0.9166666666666666,0.6461200888588832,0.9851349055950829,0.9487179487179487,0.8311435995238639,0.9858220445847259,1.5686274509803921,0.43137254901960786,0.5686274509803921,0.5686274509803921,0.0,0.8636363636363636,0.8541666666666667,22,0.43137254901960786,0.7058823529411765,0.7082720588235295,1.0,0.6568973214285714,1.0
mondrian_lac,0.2,uncalibrated_subject_mean_probability,0.8,0.8235294117647058,0.7058823529411765,0.9215686274509803,0.9166666666666666,0.6461200888588832,0.9851349055950829,0.7948717948717948,0.644660319864177,0.8922028176928961,1.411764705882353,0.5882352941176471,0.4117647058823529,0.4117647058823529,0.0,0.7,0.7556818181818181,30,0.27450980392156865,0.5490196078431373,0.5333333333333333,0.8529411764705882,0.5870414673046253,0.8958333333333333
aps,0.05,uncalibrated_subject_mean_probability,0.95,1.0,1.0,1.0,1.0,0.7575059933447593,1.0,1.0,0.9103331462924287,1.0,1.9607843137254901,0.0392156862745098,0.9607843137254902,0.9607843137254902,0.0,1.0,,2,0.9019607843137255,1.0,1.0,1.0,,
aps,0.1,uncalibrated_subject_mean_probability,0.9,1.0,1.0,1.0,1.0,0.7575059933447593,1.0,1.0,0.9103331462924287,1.0,1.9607843137254901,0.0392156862745098,0.9607843137254902,0.9607843137254902,0.0,1.0,,2,0.9019607843137255,1.0,1.0,1.0,,
aps,0.2,uncalibrated_subject_mean_probability,0.8,1.0,1.0,1.0,1.0,0.7575059933447593,1.0,1.0,0.9103331462924287,1.0,1.9607843137254901,0.0392156862745098,0.9607843137254902,0.9607843137254902,0.0,1.0,,2,0.9019607843137255,1.0,1.0,1.0,,
