threshold,coverage,selective_accuracy
0.5,1.0,0.7843137254901961
0.55,0.9215686274509803,0.851063829787234
0.6,0.8431372549019608,0.8604651162790697
0.65,0.803921568627451,0.8780487804878049
0.7,0.6470588235294118,0.9090909090909091
0.75,0.6078431372549019,0.9354838709677419
0.8,0.43137254901960786,0.9545454545454546
0.85,0.35294117647058826,0.9444444444444444
0.8999999999999999,0.3333333333333333,0.9411764705882353
0.95,0.2549019607843137,0.9230769230769231
