strategy,classification_probability_source,conformal_probability_source,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier,log_loss,ece,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,roc_auc_ci_low,roc_auc_ci_high,brier_ci_low,brier_ci_high,average_set_size,singleton_rate,abstention_rate,ambiguous_rate,empty_rate,selective_accuracy,selective_balanced_accuracy,selected_subjects,abstention_rate_ci_low,abstention_rate_ci_high,selective_accuracy_ci_low,selective_accuracy_ci_high,selective_balanced_accuracy_ci_low,selective_balanced_accuracy_ci_high,coverage,coverage_ci_low,coverage_ci_high,healthy_coverage,healthy_coverage_ci_low,healthy_coverage_ci_high,pd_coverage,pd_coverage_ci_low,pd_coverage_ci_high
mean_probability,platt_scaled,uncalibrated_strategy_subject_probability,0.7843137254901961,0.5993589743589743,0.8043478260869565,0.9487179487179487,0.8705882352941177,0.8461538461538461,0.13162047167192645,0.41523207904072984,0.0693842691427841,0.6666666666666666,0.9019607843137255,0.47560975609756095,0.7333712121212119,0.7065637065637066,0.9545454545454545,0.08430471422733721,0.18482492203475048,1.5686274509803921,0.43137254901960786,0.5686274509803921,0.5686274509803921,0.0,0.8636363636363636,0.8541666666666667,22,0.43137254901960786,0.7058823529411765,0.7082720588235295,1.0,0.6568973214285714,1.0,0.9411764705882353,0.8627450980392157,1.0,0.9166666666666666,0.6461200888588832,0.9851349055950829,0.9487179487179487,0.8311435995238639,0.9858220445847259
majority_vote,platt_scaled,uncalibrated_strategy_subject_probability,0.8235294117647058,0.6538461538461539,0.8260869565217391,0.9743589743589743,0.8941176470588236,0.7403846153846154,0.13866875960821978,0.4469183607263909,0.05267669792169566,0.7058823529411765,0.9215686274509803,0.5169642857142858,0.8,0.5731577027308735,0.8932080419580418,0.08593079501410036,0.19987405095032543,2.0,0.0,1.0,1.0,0.0,,,0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,0.7575059933447593,1.0,1.0,0.9103331462924287,1.0
feature_mean,platt_scaled,uncalibrated_strategy_subject_probability,0.8235294117647058,0.625,0.8125,1.0,0.896551724137931,0.8162393162393162,0.13769428582715126,0.42682614826025067,0.07682614693023138,0.7058823529411765,0.9215686274509803,0.5,0.75,0.666022384443437,0.9363672438672438,0.08877533005320527,0.19090936329201758,1.607843137254902,0.39215686274509803,0.6078431372549019,0.6078431372549019,0.0,0.85,0.8452380952380952,20,0.47058823529411764,0.7450980392156863,0.6666666666666666,1.0,0.6425297619047619,1.0,0.9411764705882353,0.8627450980392157,1.0,0.9166666666666666,0.6461200888588832,0.9851349055950829,0.9487179487179487,0.8311435995238639,0.9858220445847259
