model,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,cv_brier_mean,cv_brier_std,cv_log_loss_mean,cv_log_loss_std,cv_ece_mean,cv_ece_std,cv_fit_time_mean,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_brier,test_log_loss,test_ece,test_accuracy_ci_low,test_accuracy_ci_high,test_balanced_accuracy_ci_low,test_balanced_accuracy_ci_high,test_roc_auc_ci_low,test_roc_auc_ci_high,test_brier_ci_low,test_brier_ci_high
extra_trees,0.8350537634408604,0.05271493724387117,0.7440701005918398,0.047614407621393726,0.8479096989966555,0.07462785604599183,0.947793880837359,0.02973553676253372,0.8926975602225309,0.039149126778067575,0.8770825194665773,0.04160718762115281,0.12726095438169058,0.029372213810863627,0.39234894732519343,0.07281139669392385,0.12952796426155327,0.019406070610820454,0.09371208319999998,0.8431372549019608,0.7532051282051282,0.8780487804878049,0.9230769230769231,0.9,0.8461538461538461,0.12859261255328747,0.41353387767400807,0.16064779880261987,0.7450980392156863,0.9411764705882353,0.5993589743589743,0.8967627401837928,0.7065637065637066,0.9545454545454545,0.0816413026945874,0.18295891684935703
logistic_regression,0.8146236559139783,0.053903473548847385,0.7927906393123785,0.09727154624454588,0.9022727272727273,0.08244707794189568,0.8440228370663153,0.07914618138707247,0.8667295157908423,0.04600069344018791,0.8703853650375389,0.05544145900628116,0.14056771140191054,0.029871530702467668,0.43090718590048993,0.06865643049747287,0.17511086975178292,0.03631490015709657,0.006852941799999979,0.7058823529411765,0.6634615384615385,0.8529411764705882,0.7435897435897436,0.7945205479452054,0.8055555555555556,0.1760657242535956,0.5097279778003817,0.17007842929430292,0.5686274509803921,0.8235294117647058,0.49886363636363634,0.8158739837398373,0.651189024390244,0.9250053418803418,0.10896933784642894,0.2521167246571942
knn,0.8086021505376346,0.06832823597985915,0.701653909697388,0.06778038372859148,0.8418354978354978,0.06839569067420603,0.9096281657151222,0.048055404387445565,0.8728452224104398,0.04982886202849381,0.8674160375319795,0.06732476344609564,0.128607479687256,0.03958110280034412,0.5287651495662268,0.2669048983051779,0.1585641985619768,0.040627524852972025,0.006294591599999966,0.7843137254901961,0.657051282051282,0.8333333333333334,0.8974358974358975,0.8641975308641975,0.811965811965812,0.1332049853811397,0.6054617143900487,0.05863211371759554,0.6666666666666666,0.9019607843137255,0.5079365079365079,0.8134146341463415,0.6590610047846891,0.938034188034188,0.08034026477398137,0.19328559086202737
support_vector_machine,0.8281720430107526,0.055832860927485184,0.7694488884706276,0.10362315105127233,0.8585384615384616,0.08080892797356419,0.9187029717464501,0.037599167041534556,0.8849199854519003,0.04219504763627144,0.8661732473109284,0.061008476581781254,0.12280637637764329,0.03515959567102434,0.39980640254688976,0.11192432067628832,0.12421345659421805,0.0279117340456547,0.012242116800000003,0.803921568627451,0.6987179487179487,0.8536585365853658,0.8974358974358975,0.875,0.811965811965812,0.1421085805156079,0.4536121408706171,0.11197904484974198,0.6862745098039216,0.9019607843137255,0.5390243902439025,0.8494054878048778,0.6581140350877193,0.9350679413179414,0.08022428878741411,0.21644148567430674
random_forest,0.7821505376344086,0.05790739394548541,0.653396699918439,0.06620365767135766,0.811965811965812,0.08027195083602984,0.9212955643390425,0.026462390006361747,0.8605330630132961,0.042951958729748184,0.8440699960265178,0.04656888909055282,0.13433923771410644,0.03373418009743837,0.40949748695948723,0.08424788118802547,0.1706289677777796,0.027109579310076206,0.20352815860000004,0.8235294117647058,0.7115384615384616,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.8461538461538461,0.12463378488874327,0.39690569905277634,0.13992223163272965,0.7058823529411765,0.9215686274509803,0.5508720930232558,0.863373156551333,0.7070097695097695,0.9585365853658536,0.07706879001014352,0.17962041629506348
gradient_boosting,0.795268817204301,0.06870488145208553,0.7131610096827489,0.07882752916243739,0.8435347985347985,0.0736766908411997,0.8796120626555408,0.047637360637528166,0.8601668771806145,0.055169186588247016,0.840962429679821,0.06015517921082282,0.14441093694611906,0.04211233286939557,0.4821088434201705,0.15413251955219326,0.16910897647580134,0.029416280992532167,0.3547950417999998,0.7647058823529411,0.6730769230769231,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.844017094017094,0.14168680346132287,0.4698144179131112,0.180168904619837,0.6470588235294118,0.8823529411764706,0.5158730158730158,0.8250072393822393,0.7123512100951126,0.9512244494914586,0.07844714952145389,0.21260473538127606
