protocol,repeat,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier,log_loss,ece
random_recording,1,0.8552631578947368,0.7683231223054232,0.8699186991869918,0.9469026548672567,0.9067796610169492,0.9294304515543453,0.10529923859488866,0.34745655295085615,0.1136591927129386
heldout_subjects,1,0.8169934640522876,0.656084656084656,0.8769230769230769,0.9047619047619048,0.890625,0.7998236331569665,0.13430524136007438,0.4213505294965705,0.08917339771940405
random_recording,2,0.8618421052631579,0.8063308373042886,0.896551724137931,0.9203539823008849,0.9082969432314411,0.9298842750170184,0.10465009827590656,0.348927859143841,0.11134889560960635
heldout_subjects,2,0.7516339869281046,0.6663690476190476,0.7768595041322314,0.8952380952380953,0.831858407079646,0.819047619047619,0.16532535261251863,0.5009634836868995,0.09191861870456523
random_recording,3,0.8947368421052632,0.8200589970501475,0.8943089430894309,0.9734513274336283,0.9322033898305084,0.9416836850465169,0.08984482824144185,0.312396419052032,0.11320362568465911
heldout_subjects,3,0.7450980392156863,0.6185185185185185,0.7633587786259542,0.9259259259259259,0.8368200836820083,0.7697530864197532,0.1646216823570435,0.4883121220385019,0.06349283966348454
random_recording,4,0.8289473684210527,0.7338325391422736,0.8536585365853658,0.9292035398230089,0.8898305084745762,0.8976628091672338,0.11722364004988506,0.364108516396949,0.06494783648537727
heldout_subjects,4,0.7777777777777778,0.5946969696969697,0.8208955223880597,0.9166666666666666,0.8661417322834646,0.7431818181818182,0.16313692118747125,0.4759324416404723,0.12211769323087494
random_recording,5,0.8881578947368421,0.7904470161107329,0.875,0.9911504424778761,0.9294605809128631,0.9518947129566598,0.09394639332324432,0.3211749575210292,0.12683100318367227
heldout_subjects,5,0.7973856209150327,0.6531713900134952,0.8120300751879699,0.9473684210526315,0.8744939271255061,0.8076923076923077,0.1457257687725093,0.4390197636197375,0.09105608844671506
